,MARITAL_STATUS,EDUCATION_LEVEL,RESIDENTAL_STATUS,LOAN_AMOUNT,INCOME,GENDER,NUMBER_OF_PRIOR_LOANS,AGE,TENURE,PRESENT_EMPLOYMENT_SINCE,FAMILY_SIZE,OCCUPATION
9336,Married,Bachelor's Degree,Tenant,15000.0,2750.0,Male,2.0,53.0,37.0,Less Than One Year,4.0,Army
15385,Divorced,Master's Degree,Tenant,40000.0,3750.0,Female,3.0,61.0,21.0,Less Than Four Years,7.0,Technician
10702,Single,Bachelor's Degree,Owner,40000.0,5250.0,Male,0.0,56.0,13.0,Unemployed,4.0,Manager
70400,Single,Bachelor's Degree,Owner,15000.0,4250.0,Male,1.0,55.0,6.0,Less Than One Year,3.0,Manager
89654,Married,Primary School Grad,Family Home,40000.0,500.0,Male,1.0,38.0,27.0,Less Than One Year,6.0,Manager
78816,Married,Bachelor's Degree,Owner,45000.0,6250.0,Male,0.0,65.0,9.0,More Than Seven Years,2.0,Manager
77926,Married,Bachelor's Degree,Tenant,35000.0,2750.0,Male,3.0,44.0,13.0,Less Than One Year,4.0,Technician
71621,Single,Bachelor's Degree,Tenant,80000.0,2150.0,Male,0.0,40.0,7.0,Unemployed,7.0,Technician
78082,Married,Bachelor's Degree,Owner,10000.0,5250.0,Male,0.0,71.0,10.0,Unemployed,3.0,Professional
48037,Married,Bachelor's Degree,Tenant,40000.0,2150.0,Male,3.0,42.0,6.0,Less Than One Year,4.0,Professional
4924,Married,Doctorate Degree,Owner,25000.0,3750.0,Male,2.0,45.0,27.0,Less Than Seven Years,2.0,Professional
4532,Divorced,Bachelor's Degree,Owner,45000.0,4250.0,Female,0.0,45.0,8.0,Less Than Seven Years,2.0,Professional
99539,Single,Bachelor's Degree,Tenant,15000.0,2150.0,Male,0.0,39.0,39.0,Less Than Seven Years,5.0,Technician
38170,Married,Bachelor's Degree,Tenant,25000.0,2150.0,Female,0.0,24.0,37.0,More Than Seven Years,4.0,Farmer
4055,Divorced,Bachelor's Degree,Tenant,25000.0,4250.0,Male,3.0,44.0,10.0,More Than Seven Years,4.0,Manager
95942,Single,Bachelor's Degree,Tenant,20000.0,5250.0,Male,3.0,38.0,1.0,Less Than Four Years,4.0,Professional
98663,Divorced,Master's Degree,Tenant,25000.0,2750.0,Male,0.0,56.0,26.0,More Than Seven Years,3.0,Army
75536,Single,Bachelor's Degree,Tenant,90000.0,2150.0,Female,0.0,42.0,12.0,Less Than One Year,4.0,Worker
23535,Married,Bachelor's Degree,Tenant,70000.0,2750.0,Female,3.0,29.0,9.0,Less Than One Year,4.0,Manager
11953,Married,Bachelor's Degree,Owner,35000.0,4250.0,Male,0.0,34.0,29.0,More Than Seven Years,3.0,Manager
28400,Married,Bachelor's Degree,Tenant,20000.0,2750.0,Male,2.0,45.0,14.0,Less Than Four Years,4.0,Manager
2850,Married,Bachelor's Degree,Tenant,75000.0,2750.0,Female,0.0,34.0,31.0,Less Than Seven Years,4.0,Army
43005,Married,Primary School Grad,Tenant,20000.0,500.0,Male,1.0,49.0,12.0,Less Than One Year,7.0,Worker
94695,Married,Master's Degree,Tenant,15000.0,2150.0,Female,2.0,46.0,5.0,Less Than One Year,2.0,Worker
75791,Divorced,Bachelor's Degree,Owner,40000.0,6250.0,Male,0.0,52.0,15.0,More Than Seven Years,6.0,Manager
46073,Married,Master's Degree,Tenant,20000.0,2150.0,Male,0.0,32.0,14.0,Unemployed,2.0,Worker
89826,Single,Bachelor's Degree,Tenant,30000.0,2750.0,Female,3.0,35.0,11.0,Unemployed,4.0,Army
93175,Single,Primary School Grad,Family Home,50000.0,500.0,Female,1.0,23.0,12.0,Unemployed,2.0,Farmer
12879,Single,Master's Degree,Tenant,10000.0,2750.0,Female,3.0,36.0,14.0,Less Than Seven Years,3.0,Worker
44912,Single,Bachelor's Degree,Owner,15000.0,4250.0,Male,2.0,36.0,6.0,Less Than Four Years,2.0,Manager
85374,Married,Bachelor's Degree,Tenant,15000.0,2150.0,Male,3.0,66.0,7.0,Less Than One Year,4.0,Worker
42748,Married,Master's Degree,Tenant,15000.0,2750.0,Female,1.0,47.0,36.0,Less Than Seven Years,3.0,Army
25020,Married,Bachelor's Degree,Tenant,45000.0,2750.0,Male,1.0,19.0,15.0,Less Than Seven Years,5.0,Army
23769,Married,Bachelor's Degree,Tenant,30000.0,2750.0,Female,3.0,43.0,8.0,Less Than Four Years,5.0,Professional
71055,Married,Primary School Grad,Family Home,20000.0,500.0,Female,1.0,36.0,15.0,Unemployed,2.0,Technician
66394,Divorced,Bachelor's Degree,Tenant,15000.0,2750.0,Female,3.0,32.0,8.0,Less Than Seven Years,5.0,Manager
15882,Divorced,Bachelor's Degree,Owner,60000.0,4250.0,Male,0.0,64.0,1.0,Less Than One Year,4.0,Professional
5972,Married,Primary School Grad,Tenant,15000.0,500.0,Male,0.0,54.0,24.0,More Than Seven Years,4.0,Professional
20823,Married,Bachelor's Degree,Tenant,20000.0,2750.0,Male,1.0,29.0,4.0,Less Than Seven Years,4.0,Manager
62665,Married,Doctorate Degree,Owner,15000.0,3750.0,Female,2.0,62.0,23.0,Less Than Four Years,3.0,Professional
40643,Married,Bachelor's Degree,Tenant,30000.0,4250.0,Male,3.0,29.0,10.0,Less Than One Year,4.0,Professional
99598,Married,Master's Degree,Tenant,20000.0,3750.0,Female,0.0,28.0,14.0,Less Than Four Years,4.0,Professional
595,Single,Bachelor's Degree,Owner,15000.0,5250.0,Male,2.0,57.0,4.0,Unemployed,4.0,Professional
8804,Married,Master's Degree,Tenant,15000.0,2750.0,Male,0.0,30.0,2.0,Less Than Four Years,3.0,Manager
89719,Divorced,Bachelor's Degree,Tenant,10000.0,4250.0,Male,0.0,27.0,11.0,Unemployed,6.0,Manager
41954,Single,Bachelor's Degree,Owner,30000.0,6250.0,Male,2.0,55.0,27.0,Less Than Four Years,3.0,Professional
75282,Single,Master's Degree,Tenant,80000.0,2750.0,Female,1.0,45.0,5.0,Less Than One Year,2.0,Clerical
79888,Married,Bachelor's Degree,Owner,40000.0,6250.0,Male,1.0,54.0,30.0,Unemployed,4.0,Manager
75701,Married,Bachelor's Degree,Owner,15000.0,5250.0,Male,0.0,28.0,84.0,Less Than Four Years,2.0,Manager
65212,Single,Bachelor's Degree,Owner,40000.0,6250.0,Female,1.0,47.0,54.0,More Than Seven Years,3.0,Manager
1951,Married,Bachelor's Degree,Tenant,10000.0,6250.0,Female,2.0,42.0,13.0,Less Than One Year,6.0,Manager
74656,Married,Bachelor's Degree,Tenant,20000.0,2750.0,Female,2.0,49.0,7.0,Unemployed,4.0,Clerical
94428,Married,Master's Degree,Tenant,15000.0,2750.0,Female,3.0,68.0,80.0,More Than Seven Years,3.0,Professional
71185,Married,Master's Degree,Tenant,30000.0,3750.0,Male,0.0,27.0,20.0,Less Than One Year,4.0,Professional
81383,Married,Master's Degree,Tenant,45000.0,2750.0,Female,0.0,55.0,6.0,Unemployed,3.0,Worker
7910,Married,Bachelor's Degree,Tenant,25000.0,2750.0,Male,0.0,54.0,13.0,Less Than Four Years,4.0,Manager
56096,Single,Primary School Grad,Tenant,35000.0,500.0,Female,1.0,65.0,3.0,Less Than Seven Years,4.0,Farmer
59117,Divorced,Bachelor's Degree,Owner,20000.0,5250.0,Male,2.0,54.0,9.0,Less Than Four Years,4.0,Manager
80317,Married,Bachelor's Degree,Tenant,20000.0,2150.0,Female,2.0,45.0,8.0,Less Than One Year,4.0,Technician
73366,Single,Bachelor's Degree,Tenant,20000.0,2750.0,Female,0.0,44.0,11.0,Less Than Seven Years,7.0,Manager
68049,Married,Bachelor's Degree,Tenant,15000.0,2750.0,Female,2.0,27.0,24.0,Unemployed,4.0,Professional
39500,Divorced,Bachelor's Degree,Tenant,25000.0,2750.0,Female,2.0,47.0,15.0,Less Than One Year,4.0,Professional
7526,Married,Primary School Grad,Tenant,40000.0,500.0,Female,2.0,62.0,8.0,Less Than Four Years,4.0,Farmer
73396,Married,Primary School Grad,Tenant,20000.0,2750.0,Female,1.0,68.0,7.0,More Than Seven Years,4.0,Worker
63645,Single,Bachelor's Degree,Owner,20000.0,5250.0,Male,3.0,48.0,12.0,More Than Seven Years,4.0,Manager
4700,Married,Bachelor's Degree,Owner,35000.0,4250.0,Male,3.0,51.0,12.0,Less Than One Year,6.0,Manager
59789,Married,Bachelor's Degree,Owner,15000.0,5250.0,Female,3.0,68.0,28.0,Less Than One Year,3.0,Professional
27626,Married,Bachelor's Degree,Owner,80000.0,4250.0,Female,3.0,56.0,4.0,Less Than Four Years,4.0,Professional
24976,Married,Doctorate Degree,Owner,10000.0,3750.0,Male,2.0,58.0,14.0,More Than Seven Years,2.0,Professional
89876,Married,Bachelor's Degree,Owner,50000.0,4250.0,Female,3.0,49.0,15.0,Unemployed,3.0,Manager
83096,Married,Bachelor's Degree,Tenant,45000.0,2750.0,Female,0.0,30.0,35.0,More Than Seven Years,4.0,Manager
48928,Married,Bachelor's Degree,Tenant,95000.0,2150.0,Male,0.0,39.0,1.0,Less Than Four Years,6.0,Professional
25008,Divorced,Bachelor's Degree,Tenant,30000.0,2150.0,Male,0.0,45.0,7.0,Unemployed,5.0,Clerical
77462,Married,Primary School Grad,Tenant,20000.0,500.0,Female,0.0,67.0,85.0,Less Than One Year,3.0,Clerical
87580,Married,Bachelor's Degree,Owner,20000.0,6250.0,Female,3.0,51.0,4.0,Less Than One Year,4.0,Manager
92292,Single,Bachelor's Degree,Owner,30000.0,6250.0,Male,2.0,52.0,46.0,More Than Seven Years,4.0,Professional
9215,Single,Master's Degree,Tenant,95000.0,2750.0,Male,0.0,35.0,15.0,Unemployed,3.0,Worker
90639,Married,Bachelor's Degree,Tenant,10000.0,2750.0,Male,3.0,41.0,7.0,More Than Seven Years,5.0,Worker
56630,Married,Primary School Grad,Family Home,35000.0,500.0,Female,1.0,33.0,13.0,More Than Seven Years,3.0,Clerical
20539,Married,Bachelor's Degree,Tenant,20000.0,2750.0,Female,3.0,66.0,8.0,Unemployed,4.0,Farmer
61892,Married,Bachelor's Degree,Tenant,70000.0,2750.0,Female,2.0,53.0,8.0,Unemployed,4.0,Professional
92836,Divorced,Bachelor's Degree,Owner,15000.0,6250.0,Female,0.0,67.0,6.0,Less Than Seven Years,4.0,Professional
29187,Married,Bachelor's Degree,Tenant,95000.0,2750.0,Female,0.0,40.0,2.0,Less Than Seven Years,7.0,Professional
79622,Divorced,Bachelor's Degree,Owner,25000.0,5250.0,Female,0.0,66.0,6.0,Less Than Seven Years,4.0,Professional
20625,Divorced,Bachelor's Degree,Tenant,105000.0,5250.0,Male,0.0,27.0,11.0,Less Than Four Years,4.0,Professional
5424,Married,Bachelor's Degree,Tenant,25000.0,2750.0,Male,2.0,64.0,2.0,More Than Seven Years,4.0,Clerical
13265,Married,Master's Degree,Tenant,10000.0,2750.0,Female,2.0,60.0,16.0,Unemployed,3.0,Farmer
89367,Married,Master's Degree,Tenant,10000.0,2750.0,Male,3.0,35.0,7.0,More Than Seven Years,3.0,Professional
28840,Married,Bachelor's Degree,Owner,10000.0,5250.0,Female,1.0,52.0,20.0,More Than Seven Years,3.0,Manager
81103,Single,Bachelor's Degree,Tenant,50000.0,2150.0,Female,0.0,51.0,22.0,Less Than One Year,4.0,Professional
47934,Married,Bachelor's Degree,Tenant,35000.0,2750.0,Male,1.0,42.0,51.0,Less Than Four Years,4.0,Professional
74531,Single,Master's Degree,Tenant,10000.0,2750.0,Female,3.0,45.0,9.0,More Than Seven Years,4.0,Clerical
34318,Single,Bachelor's Degree,Owner,40000.0,4250.0,Male,3.0,69.0,12.0,More Than Seven Years,4.0,Manager
17393,Married,Bachelor's Degree,Tenant,55000.0,2750.0,Female,2.0,28.0,13.0,More Than Seven Years,7.0,Manager
23519,Married,Master's Degree,Tenant,40000.0,3750.0,Male,1.0,45.0,6.0,Unemployed,4.0,Professional
80378,Married,Master's Degree,Tenant,45000.0,2750.0,Female,1.0,39.0,2.0,Unemployed,2.0,Clerical
60091,Divorced,Bachelor's Degree,Tenant,75000.0,2150.0,Female,3.0,19.0,8.0,Less Than Seven Years,4.0,Army
10929,Married,Primary School Grad,Family Home,35000.0,500.0,Female,3.0,27.0,21.0,Unemployed,4.0,Clerical
88534,Single,Bachelor's Degree,Owner,10000.0,6250.0,Male,3.0,52.0,3.0,Less Than Four Years,3.0,Manager
43822,Married,Bachelor's Degree,Tenant,25000.0,2750.0,Female,0.0,49.0,14.0,Less Than Seven Years,6.0,Army
21359,Single,Doctorate Degree,Owner,15000.0,3750.0,Female,0.0,70.0,21.0,Less Than One Year,3.0,Manager
727,Married,Master's Degree,Tenant,15000.0,2750.0,Female,2.0,57.0,13.0,Unemployed,3.0,Worker
48893,Married,Primary School Grad,Tenant,30000.0,2750.0,Male,0.0,53.0,15.0,Less Than Four Years,5.0,Army
14591,Single,Bachelor's Degree,Tenant,10000.0,2750.0,Male,2.0,64.0,6.0,More Than Seven Years,4.0,Clerical
87640,Single,Primary School Grad,Family Home,35000.0,500.0,Female,3.0,31.0,6.0,Unemployed,4.0,Clerical
57894,Married,Bachelor's Degree,Owner,10000.0,5250.0,Male,0.0,65.0,2.0,Less Than One Year,6.0,Professional
73705,Married,Primary School Grad,Tenant,30000.0,500.0,Female,1.0,69.0,58.0,Less Than One Year,4.0,Manager
92762,Divorced,Bachelor's Degree,Tenant,40000.0,2150.0,Male,3.0,19.0,23.0,Less Than Four Years,4.0,Army
88780,Single,Bachelor's Degree,Tenant,60000.0,2750.0,Female,0.0,33.0,14.0,Less Than One Year,4.0,Farmer
65867,Single,Bachelor's Degree,Tenant,90000.0,2150.0,Male,0.0,38.0,51.0,Less Than One Year,7.0,Technician
55311,Married,Bachelor's Degree,Tenant,15000.0,2750.0,Female,3.0,68.0,9.0,More Than Seven Years,4.0,Technician
57851,Single,Bachelor's Degree,Tenant,20000.0,2750.0,Female,2.0,51.0,25.0,Less Than One Year,4.0,Worker
65747,Married,Primary School Grad,Tenant,10000.0,500.0,Male,2.0,55.0,11.0,Less Than One Year,4.0,Professional
98920,Divorced,Bachelor's Degree,Tenant,25000.0,2150.0,Male,0.0,48.0,14.0,Less Than Four Years,4.0,Professional
35031,Married,Master's Degree,Tenant,35000.0,2750.0,Male,2.0,65.0,36.0,Less Than Four Years,2.0,Army
44135,Married,Bachelor's Degree,Tenant,90000.0,5250.0,Female,2.0,36.0,1.0,Unemployed,4.0,Professional
3543,Single,Bachelor's Degree,Tenant,35000.0,2750.0,Male,2.0,52.0,18.0,Less Than Seven Years,4.0,Worker
34206,Single,Bachelor's Degree,Tenant,55000.0,2150.0,Male,3.0,36.0,4.0,Less Than Four Years,4.0,Farmer
10707,Married,Doctorate Degree,Owner,90000.0,3750.0,Male,1.0,49.0,7.0,Less Than One Year,3.0,Professional
19252,Divorced,Bachelor's Degree,Owner,45000.0,4250.0,Male,2.0,63.0,3.0,Less Than Four Years,7.0,Professional
81787,Single,Master's Degree,Tenant,10000.0,2750.0,Male,0.0,64.0,20.0,Less Than Seven Years,2.0,Clerical
51586,Single,Master's Degree,Tenant,35000.0,2750.0,Female,0.0,37.0,8.0,Less Than Four Years,2.0,Worker
13237,Married,Master's Degree,Tenant,35000.0,2150.0,Female,2.0,52.0,31.0,Unemployed,3.0,Manager
55982,Married,Master's Degree,Tenant,20000.0,2750.0,Male,1.0,68.0,39.0,Less Than Four Years,2.0,Manager
4792,Married,Master's Degree,Tenant,10000.0,2150.0,Male,3.0,28.0,65.0,Unemployed,2.0,Farmer
7957,Single,Primary School Grad,Family Home,40000.0,500.0,Female,3.0,40.0,5.0,Less Than Four Years,4.0,Worker
2017,Married,Doctorate Degree,Owner,10000.0,3750.0,Female,1.0,56.0,29.0,More Than Seven Years,3.0,Professional
92512,Divorced,Bachelor's Degree,Tenant,70000.0,2150.0,Female,3.0,20.0,4.0,More Than Seven Years,4.0,Professional
33688,Married,Bachelor's Degree,Owner,30000.0,5250.0,Female,1.0,63.0,90.0,Less Than Four Years,3.0,Manager
89647,Single,Bachelor's Degree,Owner,35000.0,5250.0,Female,2.0,48.0,2.0,Less Than One Year,4.0,Manager
77707,Divorced,Bachelor's Degree,Tenant,20000.0,2150.0,Male,0.0,47.0,78.0,Less Than One Year,4.0,Farmer
81932,Married,Bachelor's Degree,Tenant,10000.0,2750.0,Female,0.0,63.0,37.0,Less Than One Year,4.0,Clerical
70404,Married,Bachelor's Degree,Tenant,45000.0,2750.0,Female,2.0,45.0,24.0,Unemployed,4.0,Technician
10976,Married,Primary School Grad,Tenant,45000.0,500.0,Male,0.0,50.0,10.0,Less Than One Year,6.0,Clerical
87362,Married,Bachelor's Degree,Owner,45000.0,6250.0,Female,1.0,47.0,13.0,Less Than Four Years,4.0,Manager
75432,Single,Bachelor's Degree,Tenant,25000.0,2150.0,Male,0.0,65.0,39.0,Less Than One Year,4.0,Army
453,Divorced,Master's Degree,Tenant,40000.0,2750.0,Male,3.0,25.0,8.0,Unemployed,2.0,Technician
74777,Married,Bachelor's Degree,Owner,25000.0,6250.0,Female,2.0,62.0,2.0,Less Than One Year,4.0,Manager
52127,Married,Bachelor's Degree,Tenant,70000.0,2150.0,Male,3.0,46.0,21.0,More Than Seven Years,4.0,Worker
42616,Married,Master's Degree,Tenant,25000.0,2150.0,Male,2.0,24.0,12.0,Less Than Four Years,3.0,Army
68993,Married,Bachelor's Degree,Owner,25000.0,6250.0,Female,3.0,60.0,16.0,Less Than Seven Years,3.0,Manager
96817,Married,Bachelor's Degree,Owner,25000.0,4250.0,Male,3.0,47.0,28.0,Unemployed,7.0,Professional
75761,Married,Bachelor's Degree,Tenant,50000.0,5250.0,Female,1.0,36.0,13.0,Unemployed,4.0,Manager
17043,Single,Bachelor's Degree,Tenant,80000.0,2750.0,Male,2.0,59.0,2.0,Unemployed,4.0,Professional
36901,Single,Bachelor's Degree,Tenant,20000.0,6250.0,Female,0.0,36.0,83.0,Unemployed,4.0,Manager
23806,Married,Primary School Grad,Family Home,25000.0,500.0,Female,1.0,18.0,7.0,Less Than Four Years,4.0,Army
35507,Single,Primary School Grad,Tenant,20000.0,500.0,Female,3.0,52.0,9.0,More Than Seven Years,4.0,Army
25988,Divorced,Bachelor's Degree,Owner,35000.0,5250.0,Male,3.0,63.0,29.0,Less Than One Year,2.0,Professional
56321,Single,Master's Degree,Tenant,45000.0,2150.0,Female,3.0,27.0,29.0,Less Than Four Years,4.0,Army
68322,Married,Bachelor's Degree,Owner,55000.0,5250.0,Female,3.0,68.0,32.0,Less Than Four Years,2.0,Manager
36839,Single,Master's Degree,Tenant,10000.0,3750.0,Female,1.0,42.0,16.0,Unemployed,4.0,Professional
29825,Single,Bachelor's Degree,Tenant,55000.0,2750.0,Male,0.0,45.0,7.0,Less Than One Year,4.0,Worker
24074,Single,Bachelor's Degree,Owner,45000.0,6250.0,Male,2.0,39.0,10.0,More Than Seven Years,3.0,Manager
8222,Married,Bachelor's Degree,Tenant,10000.0,2750.0,Male,1.0,37.0,39.0,Less Than Four Years,4.0,Army
8123,Single,Doctorate Degree,Owner,10000.0,3750.0,Female,3.0,52.0,22.0,Unemployed,2.0,Manager
39131,Married,Bachelor's Degree,Owner,10000.0,6250.0,Male,1.0,58.0,37.0,More Than Seven Years,3.0,Professional
47218,Divorced,Bachelor's Degree,Tenant,45000.0,2750.0,Male,2.0,67.0,27.0,More Than Seven Years,4.0,Army
5796,Married,Master's Degree,Tenant,25000.0,2750.0,Male,2.0,45.0,13.0,Less Than Four Years,2.0,Professional
36445,Divorced,Primary School Grad,Tenant,20000.0,500.0,Female,1.0,49.0,37.0,Unemployed,2.0,Professional
96955,Married,Bachelor's Degree,Tenant,75000.0,2150.0,Male,2.0,54.0,3.0,Less Than Seven Years,4.0,Army
74400,Married,Bachelor's Degree,Tenant,45000.0,2750.0,Female,3.0,43.0,15.0,Less Than One Year,4.0,Technician
60119,Married,Bachelor's Degree,Owner,55000.0,6250.0,Male,0.0,71.0,5.0,Less Than Seven Years,2.0,Professional
29680,Single,Bachelor's Degree,Tenant,95000.0,4250.0,Male,3.0,42.0,3.0,Less Than Four Years,4.0,Professional
5188,Single,Bachelor's Degree,Tenant,10000.0,2150.0,Male,0.0,18.0,12.0,Less Than One Year,5.0,Professional
86282,Single,Bachelor's Degree,Tenant,20000.0,2750.0,Male,0.0,64.0,5.0,Less Than Four Years,6.0,Manager
83028,Married,Master's Degree,Tenant,40000.0,2750.0,Male,3.0,21.0,7.0,Less Than Four Years,3.0,Manager
19613,Single,Bachelor's Degree,Tenant,40000.0,2150.0,Male,3.0,29.0,20.0,Less Than Seven Years,4.0,Worker
35030,Married,Master's Degree,Tenant,10000.0,2150.0,Female,3.0,43.0,3.0,Less Than One Year,3.0,Farmer
19157,Divorced,Primary School Grad,Family Home,80000.0,500.0,Male,2.0,34.0,22.0,Less Than One Year,7.0,Professional
18733,Married,Bachelor's Degree,Tenant,35000.0,2750.0,Female,2.0,42.0,1.0,Unemployed,4.0,Army
60663,Married,Primary School Grad,Family Home,100000.0,500.0,Female,0.0,32.0,34.0,Unemployed,3.0,Clerical
5057,Married,Bachelor's Degree,Tenant,35000.0,2150.0,Female,2.0,34.0,14.0,Less Than Seven Years,4.0,Farmer
87755,Married,Primary School Grad,Tenant,45000.0,500.0,Male,0.0,53.0,28.0,More Than Seven Years,7.0,Technician
86246,Married,Primary School Grad,Tenant,35000.0,500.0,Male,2.0,70.0,39.0,Less Than Seven Years,3.0,Manager
94092,Single,Master's Degree,Tenant,105000.0,2150.0,Male,0.0,63.0,28.0,Less Than Four Years,3.0,Technician
13186,Married,Primary School Grad,Tenant,20000.0,500.0,Male,1.0,59.0,26.0,Unemployed,4.0,Manager
1779,Single,Bachelor's Degree,Tenant,45000.0,2150.0,Female,0.0,21.0,6.0,Less Than One Year,4.0,Manager
35321,Divorced,Bachelor's Degree,Owner,35000.0,6250.0,Male,0.0,59.0,9.0,Unemployed,6.0,Professional
62119,Single,Bachelor's Degree,Tenant,95000.0,2150.0,Male,2.0,59.0,54.0,More Than Seven Years,7.0,Professional
99888,Married,Master's Degree,Tenant,25000.0,2750.0,Male,2.0,34.0,29.0,Less Than Four Years,3.0,Technician
68222,Married,Bachelor's Degree,Tenant,35000.0,2150.0,Male,2.0,71.0,12.0,Less Than Four Years,4.0,Professional
66576,Single,Primary School Grad,Tenant,40000.0,500.0,Male,3.0,57.0,2.0,Less Than One Year,4.0,Worker
44460,Married,Primary School Grad,Tenant,10000.0,500.0,Female,1.0,65.0,36.0,More Than Seven Years,4.0,Worker
50715,Married,Master's Degree,Tenant,10000.0,3750.0,Female,0.0,41.0,32.0,More Than Seven Years,5.0,Manager
90467,Married,Doctorate Degree,Owner,30000.0,3750.0,Female,3.0,62.0,4.0,Less Than Four Years,3.0,Manager
16939,Married,Master's Degree,Tenant,30000.0,2150.0,Male,2.0,68.0,11.0,Less Than Four Years,2.0,Clerical
68607,Married,Master's Degree,Tenant,10000.0,2750.0,Female,2.0,63.0,1.0,Less Than Seven Years,2.0,Professional
86394,Married,Master's Degree,Tenant,55000.0,3750.0,Female,0.0,18.0,8.0,Less Than Four Years,6.0,Army
40297,Married,Bachelor's Degree,Tenant,20000.0,2750.0,Female,0.0,54.0,15.0,Less Than Four Years,4.0,Farmer
37146,Married,Bachelor's Degree,Tenant,15000.0,4250.0,Male,3.0,22.0,21.0,More Than Seven Years,4.0,Professional
29504,Married,Bachelor's Degree,Tenant,10000.0,2150.0,Female,0.0,26.0,20.0,Less Than Seven Years,4.0,Professional
73302,Married,Bachelor's Degree,Owner,10000.0,5250.0,Male,2.0,21.0,29.0,Less Than Seven Years,2.0,Manager
50568,Single,Bachelor's Degree,Tenant,90000.0,4250.0,Male,0.0,27.0,10.0,Unemployed,6.0,Manager
28561,Married,Bachelor's Degree,Tenant,10000.0,2150.0,Female,3.0,45.0,10.0,More Than Seven Years,4.0,Farmer
80729,Married,Bachelor's Degree,Owner,25000.0,5250.0,Female,3.0,19.0,3.0,Less Than Seven Years,3.0,Manager
81218,Married,Master's Degree,Tenant,30000.0,2150.0,Male,1.0,27.0,15.0,Unemployed,2.0,Professional
81199,Married,Bachelor's Degree,Owner,40000.0,5250.0,Male,1.0,45.0,31.0,More Than Seven Years,3.0,Manager
80664,Single,Bachelor's Degree,Tenant,20000.0,4250.0,Male,2.0,27.0,60.0,Less Than One Year,4.0,Professional
77567,Married,Bachelor's Degree,Tenant,20000.0,2750.0,Female,0.0,65.0,4.0,Unemployed,4.0,Army
58701,Married,Bachelor's Degree,Tenant,10000.0,2150.0,Male,2.0,69.0,11.0,Less Than Seven Years,6.0,Professional
93585,Single,Bachelor's Degree,Tenant,30000.0,2750.0,Male,0.0,27.0,2.0,Unemployed,4.0,Army
7961,Married,Primary School Grad,Family Home,10000.0,500.0,Male,0.0,33.0,28.0,Unemployed,4.0,Clerical
40167,Married,Master's Degree,Tenant,15000.0,2750.0,Female,3.0,27.0,17.0,Less Than One Year,3.0,Technician
1906,Married,Bachelor's Degree,Owner,95000.0,6250.0,Male,2.0,41.0,7.0,Less Than Four Years,3.0,Manager
65054,Married,Bachelor's Degree,Tenant,30000.0,2750.0,Female,2.0,35.0,15.0,Less Than One Year,4.0,Professional
59557,Single,Primary School Grad,Tenant,25000.0,500.0,Male,3.0,56.0,3.0,More Than Seven Years,4.0,Clerical
50390,Married,Bachelor's Degree,Tenant,40000.0,2750.0,Female,2.0,69.0,15.0,Less Than Seven Years,4.0,Professional
25345,Single,Master's Degree,Tenant,35000.0,2150.0,Male,0.0,53.0,17.0,Less Than Seven Years,3.0,Professional
82674,Married,Bachelor's Degree,Tenant,10000.0,2750.0,Male,2.0,18.0,4.0,Less Than Four Years,4.0,Farmer
75839,Married,Bachelor's Degree,Tenant,10000.0,2750.0,Male,2.0,43.0,14.0,Less Than One Year,4.0,Farmer
54943,Divorced,Master's Degree,Tenant,45000.0,2750.0,Female,3.0,42.0,4.0,Less Than Seven Years,3.0,Farmer
13503,Single,Bachelor's Degree,Tenant,100000.0,5250.0,Female,0.0,24.0,16.0,Less Than Four Years,6.0,Manager
67560,Single,Bachelor's Degree,Owner,75000.0,4250.0,Female,3.0,25.0,6.0,More Than Seven Years,2.0,Manager
47657,Married,Bachelor's Degree,Tenant,40000.0,2750.0,Male,2.0,45.0,2.0,More Than Seven Years,5.0,Army
45406,Married,Bachelor's Degree,Owner,30000.0,4250.0,Female,0.0,55.0,7.0,Unemployed,3.0,Professional
17397,Married,Bachelor's Degree,Tenant,15000.0,2750.0,Male,1.0,71.0,3.0,Less Than One Year,5.0,Farmer
47599,Single,Bachelor's Degree,Tenant,20000.0,2750.0,Female,3.0,34.0,2.0,Less Than Seven Years,5.0,Clerical
62370,Divorced,Bachelor's Degree,Owner,10000.0,5250.0,Female,2.0,57.0,1.0,Less Than One Year,2.0,Professional
28,Single,Bachelor's Degree,Tenant,30000.0,2150.0,Male,3.0,33.0,1.0,Less Than Four Years,7.0,Worker
62637,Married,Bachelor's Degree,Tenant,15000.0,2750.0,Female,2.0,38.0,12.0,Less Than One Year,4.0,Technician
9718,Married,Bachelor's Degree,Owner,40000.0,4250.0,Male,2.0,50.0,22.0,Less Than Seven Years,2.0,Manager
33123,Married,Primary School Grad,Tenant,20000.0,500.0,Male,1.0,46.0,1.0,Unemployed,3.0,Farmer
58773,Married,Bachelor's Degree,Tenant,105000.0,6250.0,Female,0.0,34.0,92.0,Less Than Seven Years,4.0,Manager
68706,Single,Bachelor's Degree,Owner,15000.0,4250.0,Male,2.0,63.0,51.0,Less Than Seven Years,3.0,Manager
31663,Married,Bachelor's Degree,Tenant,105000.0,2750.0,Female,0.0,18.0,21.0,Less Than Four Years,4.0,Manager
32463,Married,Bachelor's Degree,Owner,40000.0,6250.0,Male,2.0,64.0,22.0,Less Than One Year,3.0,Manager
